"title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","created_at","updated_at","status"
"E-learning enhancement through educational data mining with Covid-19 outbreak period in backdrop: A review","Kudratdeep Aulakh and Rajendra Kumar Roul and Manisha Kaushal","International Journal of Educational Development","2023","ScienceDirect","102814","101","E-learning is fast becoming an integral part of the teaching- learning process, particularly after the outbreak of Covid-19 pandemic. Educational institutions across the globe are striving to enhance their e-learning instructional mechanism in accordance with the aspirations of present-day students who are widely using numerous technological tools — computers, tablets, mobiles, and Internet for educational purposes. In the wake of the evident incorporation of e-learning into the educational process, research related to the application of Educational Data Mining (EDM) techniques for enhancing e-learning systems has gained signiﬁcance in recent times. The various data mining techniques applied by researchers to study hidden trends or patterns in educational data can provide valuable insights for educational institutions in terms of making the learning process adaptive to student needs. The insights can help the institutions achieve their ultimate goal of improving student academic performance in technology-assisted learning systems of the modern world. This review paper aims to comprehend EDM’s role in enhancing e-learning environments with reference to commonly-used techniques, along with student performance prediction, the impact of Covid-19 pandemic on e-learning and priority e-learning focus areas in the future.","","https://doi.org/10.1016/j.ijedudev.2023.102814","https://www.sciencedirect.com/science/article/pii/S0738059323000901","","","Educational data mining, E-learning systems, Educational data, Student performance prediction, Covid-19 pan- demic","","0738-0593","","","45805.948726852","45805.948726852","Rejected"
"Diversified resource access paths in MOOCs: Insights from network analysis","Shuang Li and Junlei Du and Shu Yu","Computers & Education","2023","ScienceDirect","104869","204","The low access rate to resources and learner diversity of massive open online courses (MOOCs) has led to a shift in MOOC resource design toward how to better support adaptive learning through personalized recommendation, highlighting the importance of exploring diversified access paths for MOOC resources and their dynamics. Nevertheless, most studies have explored the MOOC learning process from the perspective of behavior sequences or activity distributions, thus limiting the ability to reveal the diversified paths learners use to access MOOC resources. From a perspective of network analysis, this study used log data generated by 12,468 participants from a Chinese MOOC to build resource access networks of learners with resources as nodes. This data was then used to investigate learners’ diversified paths to access content-related resources by examining the structure and dynamics of the networks. Learners with different engagement and achievement levels differ in chapter access paths, specific resource access paths, and the dynamic characteristics of their access behavior patterns. Compared with the scattered, localized, and short access paths of the subpopulations not taking the exam, the final exam-taker subpopulations showed coherent, expanded and long access paths across all chapters and tended to use quizzes as scaffolding for other resources within and across chapters. Notably, successful learners showed a trend of reciprocity in resource access early in the course, an important feature that distinguished them from the other subpopulations. The findings inform the design of personalized resource recommendation systems for adaptive learning in MOOCs.","","https://doi.org/10.1016/j.compedu.2023.104869","https://www.sciencedirect.com/science/article/pii/S036013152300146X","","","Data science applications in education, Distance education and online learning, Informal learning, Adult learning, Lifelong learning","","0360-1315","","","45805.948726852","45805.948726852","Rejected"
"Perceptions and use of metaverse in higher education: A descriptive study in China and Spain","Yinglong Qiu and Rosa Isusi-Fagoaga and Adela García-Aracil","Computers and Education: Artificial Intelligence","2023","ScienceDirect","100185","5","The coronavirus disease – 2019 pandemic has accelerated the proliferation of virtual technologies and had have an enormous impact on education. In this paper, we analyse teachers’ perceptions about the use of the metaverse in educational practices and how it contributes to the local development. We focused our study in China and Spain as reference countries in the metaverse, but whose collaboration, in this arena, is not significant. For that purpose, we designed a questionnaire to explore the views of 20 teachers from each of the two universities selected, one in China and the other one in Spain, which applies an innovation and entrepreneurship education. The results show that the educational use of the metaverse is in its initial experimentation phase. Its application in innovation and entrepreneurship education is not limited to teachers' attitudes towards teaching, but rather to how the use of metaverse allows students to acquire real skills, which can contribute to the development of the society and improve international cooperation, thus creating a virtuous circle. Faculty training and university facilities remain limited for its implementation. Further research is needed on the data protection and privacy aspects on the practical educational use of metaverse.","","https://doi.org/10.1016/j.caeai.2023.100185","https://www.sciencedirect.com/science/article/pii/S2666920X23000644","","","Augmented and virtual reality, Improving classroom teaching, Learning communities, Teacher professional development, Teaching/learning strategies","","2666-920X","","","45805.948726852","45805.948726852","Rejected"
"Plastic gating network: Adapting to personal development and individual differences in knowledge tracing","Zhihan Li and Shengquan Yu and Yu Lu and Penghe Chen","Information Sciences","2023","ScienceDirect","761-776","624","Knowledge tracing (KT) refers to the issue of predicting learners’ knowledge states based on their learning history and is the core technology for computer-assisted adaptive learning. The latest KT research has improved prediction performance by exploring the relationship between concepts and questions. However, these models have their parameters fixed after training. Without fully or partially re-training, they can only predict all learners’ performance at all time steps using the same set of parameters, making them challenging to adapt to learners’ personal development and individual differences. To address these problems, we take inspiration from synaptic plasticity, the primary neural mechanism conferring biological brains with lifelong learning capabilities, and propose the plastic gating network (PGN) to adapt to variation in learners’ cognition over time and across individuals. At the core of the proposed model are plastic weights, which can constantly evolve after training according to the ongoing inputs and outputs. We adopt plastic weights in calculating gates and cell input in recurrent units, thus allowing the model to develop time- and individual-specific parameters that adapt to learners’ personal development and individual differences after training. Experiments on real-world datasets show that the proposed PGN outperforms baseline methods in predicting the future performance of learners. Crucially, the PGN exhibits effective adaptation to learners’ personal development and individual differences.","","https://doi.org/10.1016/j.ins.2023.01.011","https://www.sciencedirect.com/science/article/pii/S0020025523000129","","","Knowledge tracing, Plastic weights, Personal development, Individual differences, Recurrent neural networks","","0020-0255","","","45805.948726852","45805.948726852","Rejected"
"Midwifery learning and forecasting: Predicting content demand with user-generated logs","Anna Guitart and Ana Fernández {del Río} and África Periáñez and Lauren Bellhouse","Artificial Intelligence in Medicine","2023","ScienceDirect","102511","138","Every day, 800 women and 6700 newborns die from complications related to pregnancy or childbirth. A well-trained midwife can prevent most of these maternal and newborn deaths. Data science models together with logs generated by users of online learning applications for midwives can help improve their learning competencies. In this work, we evaluate various forecasting methods to determine the future interest of users for the different types of content available in the Safe Delivery App, a digital training tool for skilled birth attendants, broken down by profession and region. This first attempt at health content demand forecasting for midwifery learning shows that DeepAR can accurately anticipate content demand in operational settings, and could therefore be used to offer users personalized content and to provide an adaptive learning journey.","","https://doi.org/10.1016/j.artmed.2023.102511","https://www.sciencedirect.com/science/article/pii/S0933365723000258","","","Time series forecasting, Deep learning, mHealth, Maternal and neonatal care","","0933-3657","","","45805.948726852","45805.948726852","Rejected"
"An exploration of the key determinants for the application of AI-enabled higher education based on a hybrid Soft-computing technique and a DEMATEL approach","Kuang {Hua Hu}","Expert Systems with Applications","2023","ScienceDirect","118762","212","The application of AI in higher education has greatly increased globally in the dynamic digital age. The adoption of developmentally appropriate practices using AI-enabled techniques for facilitating the performance of teaching and learning in the higher education domain is thus a necessary task, especially in the COVID 19 pandemic era. The development and implementation of such techniques involve many factors and are related to the classical multiple criteria decision-making (MCDM) issue; however, these factors surrounding supervisors will confuse them and may result in misjudgment. To clarify the relevant issues and illustrate the cause-and-effect relationships among factors, a hybrid soft-computing technique (i.e., the fuzzy rough set theory (FRST) with ant colony optimization (ACO)) and a DEMATEL approach was proposed in this study, which can help decision makers capture the best model necessary for achieving aspiration-level in a higher education management strategy. In the results submitted, the improvement priority for dimensions is based on the measurement of the influences, running in order of tutors for learners (A), skills and competences (B), interaction data to support learning (C), and universal access to global classrooms (D), and which can serve as a reference for the plan of AI-enabled teaching/learning for higher education.","","https://doi.org/10.1016/j.eswa.2022.118762","https://www.sciencedirect.com/science/article/pii/S0957417422017808","","","Artificial intelligence, Higher education, Fuzzy rough set theory (FRST), Ant colony optimization (ACO), Decision making trial and evaluation laboratory (DEMATEL)","","0957-4174","","","45805.948726852","45805.948726852","Rejected"
"A fine-grained and multi-context-aware learning path recommendation model over knowledge graphs for online learning communities","Si Zhang and Ning Hui and Peiyun Zhai and Jiali Xu and Lanying Cao and Qiyun Wang","Information Processing & Management","2023","ScienceDirect","103464","60","Existing approaches to learning path recommendation for online learning communities mainly rely on the individual characteristics of users or the historical records of their learning processes, but pay less attention to the semantics of users’ postings and the context. To facilitate the knowledge understanding and personalized learning of users in online learning communities, it is necessary to conduct a fine-grained analysis of user data to capture their dynamical learning characteristics and potential knowledge levels, so as to recommend appropriate learning paths. In this paper, we propose a fine-grained and multi-context-aware learning path recommendation model for online learning communities based on a knowledge graph. First, we design a multidimensional knowledge graph to solve the problem of monotonous and incomplete entity information presentation of the single layer knowledge graph. Second, we use the topic preference features of users’ postings to determine the starting point of learning paths. We then strengthen the distant relationship of knowledge in the global context using the multidimensional knowledge graph when generating and recommending learning paths. Finally, we build a user background similarity matrix to establish user connections in the local context to recommend users with similar knowledge levels and learning preferences and synchronize their subsequent postings. Experiment results show that the proposed model can recommend appropriate learning paths for users, and the recommended similar users and postings are effective.","","https://doi.org/10.1016/j.ipm.2023.103464","https://www.sciencedirect.com/science/article/pii/S0306457323002017","","","Learning path recommendation, Knowledge graph, Online learning community, User recommendation","","0306-4573","","","45805.948726852","45805.948726852","Rejected"
"EDFA: Ensemble deep CNN for assessing student's cognitive state in adaptive online learning environments","Swadha Gupta and Parteek Kumar and RajKumar Tekchandani","International Journal of Cognitive Computing in Engineering","2023","ScienceDirect","373-387","4","Ensuring student engagement is crucial for effective learning outcomes in any classroom setting, including e-learning environments. However, the absence of immediate supervision in online classes makes monitoring and maintaining student attentiveness difficult. To address this challenge, this study proposes a cognitive state detection system that continuously monitors the facial emotion of the learner in an adaptive learning environment. The algorithm is proposed to detect cognitive states such as attentiveness and inattentiveness. The system has been implemented on four separate databases and evaluated using three ensemble models: FT-EDFA, FC-EDFA, and OT-EDFA. The ensemble models have been created by applying transfer learning to two popular pre-trained models, VGG19 and ResNet50, which can learn useful features from facial images for emotion recognition tasks. Combining the features learned by both models, the ensemble approach can achieve better performance in recognising facial emotions. The proposed system can provide continuous feedback to instructors, enabling them to adjust their teaching methods to maintain student engagement and interest. The study has achieved promising results, surpassing the performance of existing methods with recognition rates of 93.11%, 92.34%, and 91.12% on the newly created dataset. By detecting cognitive states in online learners, the proposed system can help instructors understand how engaged and interested their students are during classes. Overall, facial emotion recognition can be useful for improving the quality of e-learning platforms and enhancing student learning outcomes.","","https://doi.org/10.1016/j.ijcce.2023.11.001","https://www.sciencedirect.com/science/article/pii/S2666307423000359","","","Facial emotion, VGG19, ResNet50, Online learning, Deep learning, Cognitive state","","2666-3074","","","45805.948726852","45805.948726852","Rejected"
"AI-based learning content generation and learning pathway augmentation to increase learner engagement","Chaitali Diwan and Srinath Srinivasa and Gandharv Suri and Saksham Agarwal and Prasad Ram","Computers and Education: Artificial Intelligence","2023","ScienceDirect","100110","4","Retaining learner engagement is a major challenge in online learning environments, which is even more intensified with learning spaces increasingly built by combining resources from multiple independent sources. Narrative-centric learning experience has been found to improve learner engagement by several researchers. Towards this end, we propose an AI-based approach that generates auxiliary learning content called narrative fragments which are interspersed into the learning pathways to create interactive learning narratives. The proposed approach consists of the automatic generation of two types of narrative fragments– overviews of the learning pathway segments and reflection quizzes or formative assessments from learning resources in any format including open educational resources. The pipeline for the generation of the narrative fragments consists of various components based on different semantic models and a natural language generation (NLG) component based on a pre-trained language model GPT-2 (Generative Pre-trained Transformer 2). Automation enables the generation of narrative fragments on the fly whenever there are changes in the learning pathway due to the need for reiteration of concepts, pre-requisite knowledge acquisition, etc., enabling adaptability in the learning pathways. The proposed approach is domain agnostic which makes it easily adaptable to different domains. The NLG model is evaluated using ROUGE scores against several baselines. Automatically generated narrative fragments are evaluated by human evaluators. We obtained encouraging results in both cases.","","https://doi.org/10.1016/j.caeai.2022.100110","https://www.sciencedirect.com/science/article/pii/S2666920X22000650","","","Learner engagement, Open educational resources, Curating learning pathways, Educational content generation, Language models, Definition generation, Automatic question generation, Multiple choice question","","2666-920X","","","45805.948553241","45805.948553241","Rejected"
"Smart classroom learning environment preferences of higher education teachers and students in China: An ecological perspective","Zhicheng Dai and Junxia Xiong and Liang Zhao and Xiaoliang Zhu","Heliyon","2023","ScienceDirect","e16769","9","By evaluating learners' perceived preferences for the learning environment, we can understand the important characteristics and better improve the learning environment, ultimately to provide great potential for the optimization of teaching practice. Seeing that the current research pays less attention to teachers' and students’ preferences for the space environment simultaneously, based on the survey of 1937 undergraduates and 107 teachers from a university in central China, this study aims to explore their preferences for smart learning environment. Based on the ecological theory and research results of the existing learning environment, this paper constructed an ecological model and a conceptual model of learning space preferences. An empirical study was conducted to explore the impact of sociodemographic variables on personal spatial preference. The results showed that teachers and students had a positive attitude towards the smart learning environment, and gender, age, grade, subject category and other variables had limited impact on spatial preference.","","https://doi.org/10.1016/j.heliyon.2023.e16769","https://www.sciencedirect.com/science/article/pii/S2405844023039762","","","Smart classroom, Learning environment preferences, Higher education, Teachers and students, Ecological","","2405-8440","","","45805.948553241","45805.948553241","Rejected"
"Wse-MF: A weighting-based student exercise matrix factorization model","Xia Sun and Bo Li and Richard Sutcliffe and Zhizezhang Gao and Wenying Kang and Jun Feng","Pattern Recognition","2023","ScienceDirect","109285","138","Students who have been taught new ideas need to develop their skills by carrying out further work in their own time. This often consists of a series of exercises which must be completed. While students can choose exercises themselves from online sources, they will learn more quickly and easily if the exercises are specifically tailored to their needs. A good teacher will always aim to do this, but with the large groups of students who typically take advantage of open online courses, it may not be possible. Exercise prediction, working with large-scale matrix data, is a better way to address this challenge, and a key stage within such prediction is to calculate the probability that a student will answer a given question correctly. Therefore, this paper presents a novel approach called Weighting-based Student Exercise Matrix Factorization (Wse-MF) which combines student learning ability and exercise difficulty as prior weights. In order to learn how to complete the matrix, we apply an iterative optimization method that makes the approach practical for large-scale educational deployment. Compared with eight models in cognitive diagnosis and matrix factorization, our research results suggest that Wse-MF significantly outperforms the state-of-the-art on a range of real-world datasets in both prediction quality and time complexity. Moreover, we find that there is an optimal value of the latent factor K (the inner dimension of the factorization) for each dataset, which is related to the relationship between skills and exercises in that dataset. Similarly, the optimal value of hyperparameter c0 is linked to the ratio between exercises and students. Taken as a whole, we demonstrate improvements to matrix factorization within the context of educational data.","","https://doi.org/10.1016/j.patcog.2022.109285","https://www.sciencedirect.com/science/article/pii/S0031320322007646","","","Educational data mining, Personalized exercise prediction, Matrix factorization","","0031-3203","","","45805.948553241","45805.948553241","Rejected"
"Genetic hyperparameter optimization with Modified Scalable-Neighbourhood Component Analysis for breast cancer prognostication","Shtwai Alsubai and Abdullah Alqahtani and Mohemmed Sha","Neural Networks","2023","ScienceDirect","240-257","162","Breast cancer is common among women resulting in mortality when left untreated. Early detection is vital so that suitable treatment could assist cancer from spreading further and save people’s life. The traditional way of detection is a time-consuming process. With the evolvement of DM (Data Mining), the healthcare industry could be benefitted in predicting the disease as it permits the physicians to determine the significant attributes for diagnosis. Though, conventional techniques have used DM-based methods to identify breast cancer, they lacked in terms of prediction rate. Moreover, parametric-Softmax classifiers have been a general option by conventional works with fixed classes, particularly when huge labelled data are present during training. Nevertheless, this turns into an issue for open set cases where new classes are encountered along with few instances to learn a generalized parametric classifier. Thus, the present study aims to implement a non-parametric strategy by optimizing the embedding of a feature rather than parametric classifiers. This research utilizes Deep CNN (Deep Convolutional Neural Network) and Inception V3 for learning visual features which preserve neighbourhood outline in semantic space relying on NCA (Neighbourhood Component Analysis) criteria. Delimited by its bottleneck, the study proposes MS-NCA (Modified Scalable-Neighbourhood Component Analysis) that relies on a non-linear objective function to perform feature fusion by optimizing the distance-learning objective due to which it gains the capability of computing inner feature products without performing mapping which increases the scalability of MS-NCA. Finally, G-HPO (Genetic-Hyper-parameter Optimization) is proposed. In this case, the new stage in the algorithm simply denotes the enhancement in the length of chromosome bringing several hyperparameters into subsequent XGBoost, NB and RF models having numerous layers for identifying the normal and affected cases of breast cancer for which optimized hyper-parameter values of RF (Random Forest), NB (Naïve Bayes), and XGBoost (eXtreme Gradient Boosting) are determined. This process helps in improvising the classification rate which is confirmed through analytical results.","","https://doi.org/10.1016/j.neunet.2023.02.035","https://www.sciencedirect.com/science/article/pii/S0893608023001077","","","Breast cancer, Data Mining, Modified Scalable-Neighbourhood Component Analysis, Genetic-Hyper-Parameter Optimization","","0893-6080","","","45805.948553241","45805.948553241","Rejected"
"Learning analytics on video-viewing engagement in a flipped statistics course: Relating external video-viewing patterns to internal motivational dynamics and performance","Chen-Hsuan Liao and Jiun-Yu Wu","Computers & Education","2023","ScienceDirect","104754","197","This study attempts to advance the comprehension of clickstream data in video-based learning environments and interpret learning motivation from these large-volume and unstructured data. Three hundred and fifty video-learning records from 47,044 video viewing operations were obtained from 47 graduate students. Four learning improvement profiles were derived from a statistics course's pre- and post-test scores: the Advanced, the Diligent, the Indifferent, and the Persistent. The results indicated that the Diligent and the Persistent paused videos frequently. These students reflected the need with these self-paced breaks to take notes according to the retrospective interview. The Advanced demonstrated the highest SkippingBackward frequency with a small SkippingBackward time ratio, revealing confidence in searching the desired clips. In contrast, the Indifferent exhibited the least frequency but the largest time ratio for SkippingBackward, implying distraction problems. In addition, this study showed that the Pause time ratio was indirectly related to weekly quiz scores via autonomous motivation with marginal significance. Based on these results, we demonstrate that learning motivation can be revealed from dynamic clickstreams in video-based learning (i.e., the interaction between students and learning contexts), supporting its dynamic developmental mechanism. The authors suggest that instructors offer on-demand instructional materials and implement top-down video-viewing strategies or digital prompts to support and encourage autonomy in video-based learning.","","https://doi.org/10.1016/j.compedu.2023.104754","https://www.sciencedirect.com/science/article/pii/S0360131523000313","","",", , , , , ","","0360-1315","","","45805.948553241","45805.948553241","Rejected"
"Chapter 2 - The strength of digital transition in higher education as a success factor","Rui Brito Fonseca","","2023","ScienceDirect","13-24","","This accelerated societal transformation forced students, academic staff, academic organizations, and society in general to make a rapid transition to digital. In addition, the physical mobility of students, teachers, and nonteaching staff was replaced, in many cases, by digital mobility. Thus, new forms of virtual mobility were developed that continued to allow learning between people from institutions in different countries, preventing the breaking of healthy international academic ties. Likewise, conferences and other scientific meetings took place online. The high speed at which this digital transition is taking place has shown that we are facing a new world where communication and the individual are at the heart of the equation, allowing for economic, environmental, time, and reflection gains, among other factors. On the other hand, social and educational relationships are rapidly changing, acting on and reacting to the digital transition. Perhaps it is not incorrect to say that, socially and technologically, the 21st century just began, forced by the pandemic originated by SARS-CoV-2. Methodologically, this chapter presents a literature review of the digital transition, mainly in European higher education institutions, without forgetting experiences in other countries. To this end, it uses various official and scientific publications on the subject in question, complementing it with a broader reading, using articles from newspapers. This complementarity allows us to launch the discussion on how this complex subjects reaches the general population in 2021.","","https://doi.org/10.1016/B978-0-443-15248-1.00015-1","https://www.sciencedirect.com/science/article/pii/B9780443152481000151","","","Education, Digital education, Health education, Higher education","Academic Press","","","","45805.948553241","45805.948553241","Rejected"
"EDUCATION","","Laboratory Investigation","2023","ScienceDirect","100086","103","","","https://doi.org/10.1016/j.labinv.2023.100086","https://www.sciencedirect.com/science/article/pii/S0023683723000296","","","","","0023-6837","","USCAP 112th Annual Meeting Abstracts","45805.948553241","45805.948553241","Rejected"
"Personas-based Student Grouping using reinforcement learning and linear programming","Shaojie Ma and Yawei Luo and Yi Yang","Knowledge-Based Systems","2023","ScienceDirect","111071","281","Group discussions and assignments play a pivotal role in the classroom and online study. Existing research has mainly focused on exploring the educational impact of group learning, while the study on automated grouping still remains under-explored. This paper proposes a principled method that aims to achieve personalized, accurate, and efficient grouping outcomes. Dubbed as Personas-based Student Grouping (PSG), our method first applies unsupervised clustering techniques to assign personas to students based on their behavioral characteristics. Based on their personas, we then utilize deep reinforcement learning to search for appropriate grouping rules and perform linear programming to obtain a suitable grouping scheme. Finally, the teaching effectiveness is fed back as the rewards to the reinforcement learning model to optimize future grouping scheme selections. Extensive experiments conducted on MOOCs datasets show that PSG can achieve more advantageous performance in both efficiency and effectiveness compared to the manual or random grouping mechanism. We hope PSG can provide students with a more enhanced learning experience and contribute to the future development of education. Our project homepage is available at https://PSG-project.pages.dev.","","https://doi.org/10.1016/j.knosys.2023.111071","https://www.sciencedirect.com/science/article/pii/S0950705123008213","","","Student grouping, Personas-based grouping, Reinforcement learning, Linear programming, Collaborative learning","","0950-7051","","","45805.948553241","45805.948553241","Rejected"
"Author Index","","","2023","ScienceDirect","1-54","","","","https://doi.org/10.1016/B978-0-12-818630-5.18002-9","https://www.sciencedirect.com/science/article/pii/B9780128186305180029","","","","Elsevier","","","","45805.948553241","45805.948553241","Rejected"
"Digital transformation strategy for developing higher education in conflict-affected societies","Maan Habib","Social Sciences & Humanities Open","2023","ScienceDirect","100627","8","Armed conflict is an evolution in reverse that significantly damages infrastructure, displaces students and faculty, and limits access to resources, necessitating innovative solutions. This research uses Syria as a case study to investigate the potential of a digital transformation strategy to revitalize the higher education system in war-ravaged regions. It proposes a digital transformation framework utilizing a mixed-method approach, including literature reviews, expert interviews, and case analysis, to identify critical challenges faced by Syrian higher education institutions. The framework focuses on developing digital infrastructure, capacity building for educators, e-learning platforms, digital content, and public-private partnerships that increase education access, foster collaboration, enable remote learning and enhance global competitiveness in war-torn areas. The e-learning platforms component explores the potential of Massive Open Online Courses (MOOCs), Learning Management Systems (LMS), and blended learning approaches to enhance the quality and accessibility of higher education. The digital content component highlights the importance of open educational resources, digital libraries, and virtual labs to support learning. Finally, the capacity building component addresses the need for training and upskilling educators and administrators to implement digital solutions effectively. The proposed framework is a roadmap for policymakers, educators, and international organizations to develop and implement digital solutions supporting long-term recovery and growth in conflict-affected areas.","","https://doi.org/10.1016/j.ssaho.2023.100627","https://www.sciencedirect.com/science/article/pii/S2590291123002322","","","Digital transformation, Higher education, War-affected areas, Remote learning, International collaboration","","2590-2911","","","45805.948553241","45805.948553241","Rejected"
"Emerging learning technologies for future of work and education in engineering","Masoud Gheisari and Burçin Becerik-Gerber and Carrie Sturts Dossick","Advanced Engineering Informatics","2023","ScienceDirect","101775","56","","","https://doi.org/10.1016/j.aei.2022.101775","https://www.sciencedirect.com/science/article/pii/S1474034622002336","","","Leaning technologies, Future of work, Future of education, Engineering education","","1474-0346","","","45805.948553241","45805.948553241","Rejected"
"Application of the convergent education model in the development of a smart learning environment","Mikhail Deev and Alexey Finogeev","Telematics and Informatics Reports","2023","ScienceDirect","100051","10","The article presents a scientific and practical approach to the development and implementation of the concept of convergent learning in the framework of building an open educational platform to manage the process of training specialists. The presented concept of convergence education is based on the integration of educational programs, learning content, competency matrices, methods and technologies for training specialists and personalized learning trajectories in smart learning environment. To implement the model and the convergent approach, it is vital to make use of an information and educational environment with mechanisms to support convergent learning based on regional labor market analysis, actualizing of educational programs and resources, harmonization and synchronization life-cycle models thereof, adaptive customization and personalization of specialist training trajectories. The article presents the developed convergence model of educational programs and employer vacancies as a weighted graph to illustrate the relationship between competence requirement vectors of educational programs and sought-after employment. To isolate the convergence model components and evaluate the convergence degree thereof, a graph clustering algorithm based on the Louvain method has been developed. A method for synthesizing a convergence model of educational content organized as a fuzzy weighted graph has been presented, and sets of topics and sections of electronic learning resources being its vertices. Search and extraction of convergence educational content sections have been implemented by means of an algorithm for extracting fuzzy isomorphic subgraphs, and assessing the convergence degree thereof. The results of the study are used to synthesize an information and educational environment with intelligent mechanisms for supporting learning processes based on an analysis of the requirements of labor markets and actualizing educational content and training programs, as well as adaptive customization and personalization of specialist training trajectories. The architecture of the educational environment includes a set of software and tools for managing the components of the information space of the university with support for mobile, cloud and blended learning technologies.","","https://doi.org/10.1016/j.teler.2023.100051","https://www.sciencedirect.com/science/article/pii/S2772503023000117","","","Convergence, Model, Actualizing, Educational resources, Smart learning environment","","2772-5030","","","45805.948553241","45805.948553241","Rejected"
"Recognition of EEG based on Improved Black Widow Algorithm optimized SVM","Qiuhao Huang and Chao Wang and Ye Ye and Lu Wang and Nenggang Xie","Biomedical Signal Processing and Control","2023","ScienceDirect","104454","81","As a classifier suitable for nonlinear samples, support vector machines (SVM) is widely used in Electroencephalogram (EEG) signals pattern recognition. The performance of SVM depends mainly on the selection of model parameters. This paper modifies the reproductive formula of the Black Widow Optimization (BWO) algorithm to obtain an improved Black Widow Optimization (IBWO) algorithm, which solves the problem of the restricted search radius of the BWO algorithm. We construct an IBWO-SVM model in which IBWO is used to optimize the penalty parameter C and the kernel function parameter g of the SVM, and the optimized SVM model is applied to EEG signals classification. The effectiveness and superiority of IBWO-SVM is verified by using the BCI competition III dataset IVa EEG public dataset, and compared with the SVM optimized by the original BWO algorithm (BWO-SVM), the artificial fish swarm algorithm (AFSA-SVM) and the particle swarm optimization algorithm (PSO-SVM), The simulation results demonstrate that all indicators of the IBWO-SVM model are better than the three comparison models, in which the average classification accuracy on five subjects reaches 97.29%. In addition, the two-class motor imagery (left arm stretch and right fist clenched) EEG data collected from our experiment is also used to test the performance of the IBWO-SVM model. The average classification accuracy of the final twelve subjects is 5.21%, 4.16% and 1.47% higher than that of BWO-SVM, AFSA-SVM, and PSO-SVM, respectively. Therefore, the IBWO-SVM model can effectively improve the accuracy of EEG signals pattern recognition, which has a very important practical value.","","https://doi.org/10.1016/j.bspc.2022.104454","https://www.sciencedirect.com/science/article/pii/S1746809422009089","","","Electroencephalogram (EEG), SVM, Parameter optimization, Improve Black Widow Optimization algorithm","","1746-8094","","","45805.948553241","45805.948553241","Rejected"
"A Diffusion of Innovation Perspective for Digital Transformation on Education","Yilei Wang and Daocheng Hong and Jun Huang","Procedia Computer Science","2023","ScienceDirect","2439-2448","225","As China's national digital strategy proceeds into its implementation phase, there is an urgent need to further deepen the integration and synergy between technology and education to take the full advantages of digital education in this new era. Technological innovation and digital transformation can generate new momentum in high-quality education development by causing a major shift in educational paradigms and practice models. While the micro-level implementation of digital transformation on education has already been extensively discussed in the educational sector, the efforts in answering the same question from a macro-level perspective is currently lacking. The present study addresses this gap by discussing the implementation of digital transformation on education through the lens of diffusion of innovation theory. Specifically, we examine how the theory can provide unique insights on studying the developmental status, process, and outcome of digital transformation on education. As the application of diffusion of innovation theory in this topic, the study will contribute to the development of China's high-quality education system by providing theoretical guidance on the advancement of digital transformation on education under the overarching goal of education modernization.","","https://doi.org/10.1016/j.procs.2023.10.235","https://www.sciencedirect.com/science/article/pii/S1877050923013935","","","Digital Transformation, Digital Learning, Diffusion of Innovation Theory, Bass Mode","","1877-0509","","27th International Conference on Knowledge Based and Intelligent Information and Engineering Sytems (KES 2023)","45805.948541667","45805.948541667","Rejected"
"A Collaborative Metaverse based A-La-Carte Framework for Tertiary Education (CO-MATE)","Swati Joshi and Pramod P.J.","Heliyon","2023","ScienceDirect","e13424","9","The paper aims to propose a futuristic educational and learning framework called CO-MATE (Collaborative Metaverse-based A-La-Carte Framework for Tertiary Education). The architectural framework of CO-MATE was conceptualized in a four-layered approach which depicts various infrastructure and service layer functionalities. CO-MATE is a technologically driven educational metaverse environment involving loosely coupled building blocks to provide an a-la-carte model for platform designers. For this, the authors had undertaken a systematic mapping study of the pre/post-COVID period to review the application of various emerging technologies. Further, the paper also discusses the core attributes and component offerings of CO-MATE for a technology-driven and automated immersive-learning environment and exemplifies the same through various use cases.","","https://doi.org/10.1016/j.heliyon.2023.e13424","https://www.sciencedirect.com/science/article/pii/S240584402300631X","","","Collaborative Tertiary Educational Framework, Metaverse, Blended Learning, Emerging Technologies, e-Learning, Virtual Learning Environment, Futuristic Ed-Tech Platform, Learning Management System","","2405-8440","","","45805.948541667","45805.948541667","Rejected"
